no,zi,pianmu,nianji,ci,jisici,jisici_zuci
143,盘,17,3,"盘子, 托盘, 盘旋, 盘根错节",,"监考, 面盆"
144,优,18,3,"优美, 优秀, 优胜劣汰, 优裕",,"犹豫, 忧伤"
145,淡,18,3,"淡青, 淡黄色, 天高云淡, 淡水湖",,"谈话, 炎热"
146,浅,18,3,"浅水, 浅滩, 深入浅出, 浅红色",,"金钱, 丝线"
147,错,18,3,"交错, 错综复杂, 认错, 不错",,"借口, 可惜"
148,岩,18,3,"岩石, 岩浆, 岩洞, 岩壁, 山岩",,"石头, 开拓"
149,虾,18,3,"龙虾, 虾米, 大虾, 虾兵蟹将",,"吓一跳, 吓唬"
150,挺,18,3,"挺巧, 挺拔, 挺直, 挺胸抬头",,"蜻蜓, 舰艇"
151,刺,18,3,"刺猬, 鱼刺, 刺绣, 悬梁刺股",,乘剌
152,鼓,18,3,"鼓起, 一鼓作气, 军鼓, 腰鼓",,"豆豉, 彭老师"
153,数,18,3,"数不清, 数星星, 数落, 数说",,"楼房, 救命"
154,厚,18,3,"厚实, 厚纸, 厚袄, 忠厚, 厚道",,"原因, 厘米"
155,宝,18,3,"宝贵, 宝石, 珍宝, 珠光宝气",,"晶莹, 卧室"
156,贵,18,3,"宝贵, 高贵, 贵族, 达官贵人",,"肠胃, 责任"
157,滨,19,3,"海滨, 湖滨, 江滨, 滨海",,"五彩缤纷, 宾客"
158,灰,19,3,"灰色, 银灰, 灰头土脸, 烟灰",,"恢复, 朋友"
159,飘,19,3,"飘落, 飘摇, 飘带, 红旗飘扬",,"水瓢, 漂浮"
160,渔,19,3,"渔民, 渔火, 涸泽而渔, 竭泽而渔, 渔利",,"鱼虾, 涌泉"
161,遍,19,3,"遍地, 遍布, 漫山遍野, 三遍",,"偏高, 扁担"
162,躺,19,3,"躺下, 躺倒, 躺着, 平躺",,"倘若, 流淌"
163,载,19,3,"装载, 满载而归, 怨声载道",,"栽树, 裁剪"
164,靠,19,3,"靠岸, 靠着, 依靠, 无依无靠",,"悲痛, 犯罪"
165,亚,19,3,"亚热带, 亚军, 亚洲, 亚运会",,"作业, 正确"
166,夏,19,3,"初夏, 夏天, 立夏, 华夏, 夏朝",,"大厦, 复习"
167,除,19,3,"除外, 消除, 剔除, 为民除害",,"徐徐上升, 涂抹"
168,踩,19,3,"踩踏, 踩高跷, 踩点, 踩气球",,"理睬, 舞蹈"
169,洁,19,3,"整洁, 清洁, 廉洁, 洁身自好",,"结束, 拮据"
170,脑,20,3,"脑袋, 头脑, 大脑, 探头探脑",,"懊恼, 恼怒"
171,袋,20,3,"脑袋, 口袋, 塑料袋, 布袋, 麻袋",,"装满, 贷款"
172,严,20,3,"严严实实, 嘴严, 严冬, 严肃",,"财产, 亚洲"
173,实,20,3,"严严实实, 充实, 实惠, 真实",,"买卖, 头发"
174,挡,20,3,"挡住, 阻挡, 遮风挡雨, 窗挡",,"档案, 裤裆"
175,视,20,3,"视线, 视力, 注视, 一视同仁",,"祝福, 观察"
176,线,20,3,"视线, 光线, 棉线, 穿针引线",,"铜钱, 深浅"
177,坛,20,3,"花坛, 酒坛, 坛子, 坛坛罐罐",,"云层, 纷纭"
178,显,20,3,"显得, 显示, 明显, 显著, 显贵",,"湿润, 星光"
179,材,20,3,"药材, 材料, 器材, 因材施教",,"村庄, 森林"
180,软,20,3,"柔软, 松软, 欺软怕硬, 软弱",,"砍柴, 钦佩"
181,刮,20,3,"刮倒, 刮风, 刮脸, 刮胡子",,"凌乱, 甜蜜"
182,库,20,3,"宝库, 水库, 金库, 仓库, 车库",,"衣裤, 裤子, 秋裤"
183,妙,21,3,"美妙, 妙不可言, 巧妙, 妙用",,"抄写, 炒菜"
184,演,21,3,"演奏, 演员, 表演, 演变, 演化",,寅时
185,奏,21,3,"合奏, 奏乐, 伴奏, 上奏, 启奏",,"奉献, 泰山"
186,琴,21,3,"手风琴, 口琴, 弹琴, 琴瑟在御",,"琵琶, 萧瑟"
187,感,21,3,"感受, 感到, 感动, 感人肺腑",,"减轻, 疑惑"
188,受,21,3,"感受, 接受, 忍受, 受罪, 受害",,"爱心, 教授"
189,激,21,3,"激动, 感激, 慷慨激昂, 激烈",,"清澈, 收缴"
190,击,21,3,"打击, 撞击, 击败, 无懈可击",,"出力, 吉祥"
191,器,21,3,"乐器, 瓷器, 成器, 大器晚成",,"哭声, 嚣张"
192,滴,21,3,"雨滴, 汗滴, 水滴, 一滴血",,"摘花, 嘀嗒"
193,敲,21,3,"敲敲打打, 敲门, 敲诈, 敲竹杠",,"稿子, 搞笑"
194,鸣,21,3,"虫鸣, 鸣叫, 鸣谢, 百家争鸣",,"飞鸟, 呜咽"
195,诉,21,3,"告诉, 诉苦, 如泣如诉, 起诉",,"拆信, 斥责"
196,读,22,3,"读书, 读者, 朗读, 默读, 走读",,"持续, 渎职"
197,麻,22,3,"麻雀, 麻醉, 麻木不仁, 麻痹",,"床位, 庆祝"
198,勇,22,3,"勇气, 勇敢, 勇猛, 有勇有谋",,"涌泉, 男孩"
199,蚂,22,3,蚂蚁,,"数码, 玛瑙"
200,蚁,22,3,"蚂蚁, 蚁穴, 白蚁, 群蚁溃堤",,"议论, 仪式"
201,短,22,3,"长短, 短缺, 短处, 取长补短",,"矮小, 高矮"
202,栽,22,3,"栽树, 栽花, 栽跟头, 桃栽",,"载重, 裁剪"
203,梨,22,3,"梨树, 鸭梨, 梨花, 梨花带雨",,"犁地, 柴火"
204,寸,22,3,"尺寸, 分寸, 一寸, 寸土寸金",,"才华, 付出"
205,柔,22,3,"温柔, 刚柔并济, 柔软, 柔嫩",,"揉腿, 集合"
206,摇,22,3,"一摇一晃, 动摇, 摇晃, 摇头摆尾",,"歌谣, 瑶池"
207,册,22,3,"画册, 名册, 纪念册, 一册书",,"删除, 栅栏"
208,朝,23,3,"朝前, 朝见, 朝拜, 改朝换代",,"潮湿, 嘲笑"
209,雾,23,3,"雾蒙蒙, 浓雾, 云雾, 云山雾罩",,"零钱, 雷雨"
210,蒙,23,3,"雾蒙蒙, 蒙蒙细雨, 启蒙, 蒙面",,"朦胧, 豪华"
211,鼻,23,3,"鼻子, 鼻梁, 鼻青脸肿, 门鼻儿",,"舅妈, 鼾声"
212,总,23,3,"总是, 总结, 总算, 总而言之",,"聪明, 怠慢"
213,抖,23,3,"抖动, 颤抖, 发抖, 瑟瑟发抖",,"科学, 材料"
214,露,23,3,"露水, 露营, 露珠, 风餐露宿",,"大雾, 柿霜"
215,湿,23,3,"湿气, 湿度, 潮湿, 湿淋淋",,"显示, 温暖"
216,吸,23,3,"呼吸, 吸引, 吸收, 吸纳, 吸取",,"等级, 汲取"
217,猎,23,3,"猎人, 打猎, 猎取, 猎犬, 猎奇",,"借书, 可惜"
218,翅,23,3,"翅膀, 双翅, 展翅, 插翅难逃",,"翘起, 羽毛"
219,膀,23,3,"翅膀, 肩膀, 膀子, 膀大腰圆",,"榜样, 滂沱"
220,重,23,3,"沉重, 举重, 重量, 体重, 重病",,"童年, 质量"
221,司,24,3,"司马, 司法, 司机, 各司其职",,"词语, 合同"
222,庭,24,3,"庭院, 家庭, 大庭广众, 法庭",,"宫廷, 挺立"
223,登,24,3,"登山, 攀登, 登记, 五谷丰登",,"凳子, 澄清"
224,跌,24,3,"跌跤, 跌倒, 跌跌撞撞, 下跌",,"跳跃, 秩序"
225,众,24,3,"群众, 大众, 众人, 众志成城",,"从前, 言听计从"
226,弃,24,3,"放弃, 抛弃, 丢弃, 弃暗投明",,"奇异, 充实"
227,持,24,3,"持笔, 坚持, 持之以恒, 操持",,"特殊, 等待"
228,郊,25,3,"郊区, 郊外, 郊游, 荒郊野岭",,"仿效, 饺子"
229,养,25,3,"养病, 修养, 养育, 颐养天年",,"差劲, 卷尺"
230,粉,25,3,"粉红色, 粉笔, 粉碎, 粉身碎骨",,"年份, 扮演"
231,谷,25,3,"谷粒, 谷物, 五谷丰登, 峡谷",,"古代, 容易"
232,粒,25,3,"谷粒, 米粒, 沙粒, 一粒米",,"哭泣, 立正"
233,男,25,3,"男孩, 男生, 男女老少, 长男",,"世界, 另外"
234,或,25,3,"或者, 或多或少, 或许",,"成功, 迷惑"
235,者,25,3,"或者, 读者, 作者, 老者, 患者",,"诸位, 著名"
236,冻,25,3,"冻死, 防冻, 冷冻, 天寒地冻",,"栋梁, 东西"
237,冷,25,3,"寒冷, 冷落, 冷淡, 冷若冰霜",,"泠风, 伶俐"
238,惜,25,3,"可惜, 惋惜, 珍惜, 依依惜别",,"差错, 借助"
239,肯,25,3,"不肯, 肯定, 首肯, 中肯",,"啃骨头, 后背"
240,诚,25,3,"诚实, 诚恳, 诚心诚意, 诚然",,"城墙, 成功"
241,术,26,3,"造纸术, 美术, 武术, 防御之术",,"木头, 本来"
242,斗,26,3,"争奇斗艳, 战斗, 斗智, 斗智",,"抖动, 头脑"
243,刚,26,3,"刚才, 刚走, 刚刚, 外柔内刚",,"钢铁, 山冈"
244,烈,26,3,"热烈, 激烈, 壮烈, 轰轰烈烈",,"裂纹, 列车"
245,离,26,3,"离去, 离开, 离别, 骨肉分离",,"禽兽, 篱笆"
246,血,26,3,"血液, 鲜血, 血浆, 鲜血淋淋",,"器皿, 山丘"
247,仍,26,3,"仍然, 仍旧, 频仍, 一仍其旧",,"扔掉, 奶奶"
248,取,26,3,"取衣服, 录取, 取笑, 取长补短",,"勇敢, 职业"
249,匆,26,3,"匆匆, 匆忙, 匆促, 来去匆匆",,"勿扰, 勿忘我"
250,险,26,3,"危险, 险境, 遇险, 化险为夷",,"捡起, 检查"
