,zi,pianmu,nianji,ci,jisici,jisici_zuci,spare 1,spare 2,spare 3,spare 4,spare 5,spare 6,spare 7,spare 8,spare 9,spare 10,spare 11,spare 12,spare 13,spare 14,spare 15,spare 16,spare 17,spare 18,spare 19,spare 20
84,,10,3,"""拼命"", ""拼接"", ""拼图"", ""东拼西凑""",,"""饼干"", ""并且""",,,,,,,,,,,,,,,,,,,,
85,,10,3,"""扫描"", ""扫射"", ""扫地"", ""一扫而光""",,"""妇女"", ""回归""",,,,,,,,,,,,,,,,,,,,
86,,10,3,"""胃病"", ""胃液"", ""反胃"", ""胃口大开""",,"""甲胄"", ""冒泡""",,,,,,,,,,,,,,,,,,,,
87,,10,3,"""管家"", ""管理"", ""不管不顾"", ""不管""",,"""草菅人命"", ""军营""",,,,,,,,,,,,,,,,,,,,
88,,10,3,"""出乎"", ""在乎"", ""出乎意料"", ""合乎情理""",,"""呼吸"", ""平安""",,,,,,,,,,,,,,,,,,,,
89,,10,3,"""流淌"", ""流通"", ""气流"", ""川流不息""",,"""梳头"", ""琉璃""",,,,,,,,,,,,,,,,,,,,
90,,10,3,"""眼泪"", ""泪水"", ""泪花"", ""声泪俱下""",,"""互相"", ""汩汩""",,,,,,,,,,,,,,,,,,,,
91,,10,3,"""就算"", ""算术"", ""计算"", ""打算"", ""失算""",,"""篡改"", ""鼻子""",,,,,,,,,,,,,,,,,,,,
92,,12,3,"""准备"", ""批准"", ""准许"", ""准则"", ""标准""",,"""淮河"", ""土堆""",,,,,,,,,,,,,,,,,,,,
93,,12,3,"""准备"", ""完备"", ""德才兼备"", ""装备""",,"""奋力"", ""各尽所能""",,,,,,,,,,,,,,,,,,,,
94,,12,3,"""等候"", ""等待"", ""上等"", ""等级"", ""特等""",,"""第一"", ""寺院""",,,,,,,,,,,,,,,,,,,,
95,,12,3,"""暴风雨"", ""暴怒"", ""暴躁"", ""粗暴""",,"""瀑布"", ""爆炸""",,,,,,,,,,,,,,,,,,,,
96,,12,3,"""睡觉"", ""睡眠"", ""睡梦"", ""睡眼惺忪""",,"""锤子"", ""捶打""",,,,,,,,,,,,,,,,,,,,
97,,12,3,"""墙壁"", ""壁画"", ""峭壁"", ""作壁上观""",,"""白璧"", ""手臂""",,,,,,,,,,,,,,,,,,,,
98,,12,3,"""砍光"", ""砍树"", ""砍伐"", ""乱砍滥伐""",,"""吹灭"", ""饮料""",,,,,,,,,,,,,,,,,,,,
99,,12,3,"""蜘蛛""",,"""知道"", ""知识""",,,,,,,,,,,,,,,,,,,,
100,,12,3,"""蜘蛛"", ""蛛网"", ""狼蛛"", ""蛛丝马迹""",,"""珍珠"", ""守株待兔""",,,,,,,,,,,,,,,,,,,,
101,,12,3,"""漂亮"", ""漂亮话""",,"""缥缈"", ""瞟一眼""",,,,,,,,,,,,,,,,,,,,
102,,12,3,"""碰撞"", ""撞翻"", ""撞击"", ""横冲直撞""",,"""一幢"", ""憧憬""",,,,,,,,,,,,,,,,,,,,
103,,12,3,"""吃饱"", ""饱满"", ""饱含"", ""大饱眼福""",,"""跑步"", ""咆哮""",,,,,,,,,,,,,,,,,,,,
104,,12,3,"""晒太阳"", ""晾晒"", ""风吹日晒""",,"""西方"", ""洒落""",,,,,,,,,,,,,,,,,,,,
105,,15,3,"""搭船"", ""搭台"", ""搭积木"", ""牵线搭桥""",,"""灯塔"", ""拾取""",,,,,,,,,,,,,,,,,,,,
106,,15,3,"""母亲"", ""亲人"", ""非亲非故"", ""亲切""",,"""条纹"", ""复杂""",,,,,,,,,,,,,,,,,,,,
107,,15,3,"""外祖父"", ""父亲"", ""父母"", ""衣食父母""",,"""交往"", ""艾草""",,,,,,,,,,,,,,,,,,,,
108,,15,3,"""沙拉"", ""沙土"", ""沙里淘金"", ""豆沙""",,"""纺纱"", ""抄写""",todo：沙拉怎么写,,,,,,,,,,,,,,,,,,,
109,,15,3,"""沙啦"", ""啦啦队"", ""叽里呱啦""",,"""拉手"", ""拉住""",,,,,,,,,,,,,,,,,,,,
110,,15,3,"""一声不响"", ""响亮"", ""影响"", ""响声""",,"""晌午"", ""方向""",,,,,,,,,,,,,,,,,,,,
111,,15,3,"""羽毛"", ""羽绒"", ""羽扇"", ""羽翼丰满""",,"""栩栩如生"", ""自诩""",,,,,,,,,,,,,,,,,,,,
112,,15,3,"""翠绿"", ""翠竹"", ""翡翠"", ""珠翠""",,"""荟萃"", ""后羿射日""",,,,,,,,,,,,,,,,,,,,
113,,15,3,"""嘴巴"", ""嘴唇"", ""尖嘴猴腮"", ""多嘴""",,"""啃咬"", ""准确""",,,,,,,,,,,,,,,,,,,,
114,,15,3,"""静悄悄"", ""悄悄话"", ""悄悄""",,"""消灭"", ""俏丽""",,,,,,,,,,,,,,,,,,,,
115,,15,3,"""吞咽"", ""吞吐"", ""吞下"", ""气吞山河""",,"""吝啬"", ""养蚕""",,,,,,,,,,,,,,,,,,,,
116,哦,15,3,"""""",,"""饥饿"", ""嫦娥""",,,,,,,,,,,,,,,,,,,,
117,,15,3,"""捕鱼"", ""捕食"", ""捕获"", ""捕风捉影""",,"""铺开"", ""果脯""",,,,,,,,,,,,,,,,,,,,
118,,16,3,"""蒲公英"", ""蒲包"", ""蒲草"", ""蒲扇""",,"""铺天盖地"", ""葡萄""",,,,,,,,,,,,,,,,,,,,
119,,16,3,"""蒲公英"", ""英俊"", ""英雄"", ""飒爽英姿""",,"""豆荚"", ""中央""",,,,,,,,,,,,,,,,,,,,
120,,16,3,"""盛开"", ""茂盛"", ""盛会"", ""年轻气盛""",,"""成功"", ""盘子""",,,,,,,,,,,,,,,,,,,,
121,,16,3,"""玩耍"", ""耍聪明"", ""耍刀"", ""耍猴儿""",,"""不要"", ""需要""",,,,,,,,,,,,,,,,,,,,
122,,16,3,"""喊叫"", ""呼喊"", ""叫喊"", ""大喊大叫""",,"""减去"", ""咸菜""",,,,,,,,,,,,,,,,,,,,
123,,16,3,"""打哈欠"", ""欠债"", ""欠钱"", ""拖欠""",,"""吹牛"", ""长久""",,,,,,,,,,,,,,,,,,,,
124,,16,3,"""钓鱼"", ""垂钓"", ""钓竿"", ""沽名钓誉""",,"""鱼钩"", ""豹子""",,,,,,,,,,,,,,,,,,,,
125,,16,3,"""而且"", ""然而"", ""从而"", ""自上而下""",,"""面条"", ""下雨""",,,,,,,,,,,,,,,,,,,,
126,,16,3,"""观察"", ""查看"", ""察验"", ""察言观色""",,"""祭奠"", ""擦桌子""",todo：察验？,,,,,,,,,,,,,,,,,,,
127,,16,3,"""合拢"", ""拢共"", ""拉拢"", ""拢紧""",,"""扰乱"", ""喉咙""",,,,,,,,,,,,,,,,,,,,
128,,16,3,"""手掌"", ""掌声"", ""掌管"", ""了如指掌""",,"""会堂"", ""海棠""",,,,,,,,,,,,,,,,,,,,
129,,16,3,"""有趣"", ""趣事"", ""趣味无穷"", ""志趣""",,"""赶忙"", ""赵国""",,,,,,,,,,,,,,,,,,,,
130,,16,3,"""喜爱"", ""喜闻乐见"", ""喜欢"", ""喜事""",,"""嘉奖"", ""善良""",,,,,,,,,,,,,,,,,,,,
131,,17,3,"""中断"", ""断裂"", ""源源不断"", ""诊断""",,"""继续"", ""继任"", ""继往开来""",,,,,,,,,,,,,,,,,,,,
132,,17,3,"""楚江"", ""楚国"", ""清楚"", ""苦楚"", ""凄楚""",,"""做梦"", ""禁止""",,,,,,,,,,,,,,,,,,,,
133,,17,3,"""至此"", ""甚至"", ""至高无上"", ""至宝""",,"""到达"", ""神圣""",,,,,,,,,,,,,,,,,,,,
134,,17,3,"""孤帆"", ""孤独"", ""孤儿"", ""孤家"", ""孤王""",,"""狐狸"", ""抓住""",,,,,,,,,,,,,,,,,,,,
135,,17,3,"""孤帆"", ""帆船"", ""风帆"", ""一帆风顺""",,"""平凡"", ""巩固""",,,,,,,,,,,,,,,,,,,,
136,,17,3,"""饮茶"", ""饮水思源"", ""冷饮"", ""饮恨""",,"""炊烟"", ""钦差""",,,,,,,,,,,,,,,,,,,,
137,,17,3,"""初晴"", ""初冬"", ""初级"", ""和好如初""",,"""一切"", ""唠叨""",,,,,,,,,,,,,,,,,,,,
138,,17,3,"""镜子"", ""穿衣镜"", ""镜片"", ""眼镜""",,"""境界"", ""竟然""",,,,,,,,,,,,,,,,,,,,
139,,17,3,"""未知"", ""未来"", ""未雨绸缪"", ""未时""",,"""末尾"", ""朱砂""",,,,,,,,,,,,,,,,,,,,
140,,17,3,"""磨刀"", ""磨练"", ""折磨"", ""消磨"", ""磨灭""",,"""摩擦"", ""魔鬼""",,,,,,,,,,,,,,,,,,,,
141,,17,3,"""遥望"", ""遥控"", ""遥远"", ""遥遥无期""",,"""瑶琴"", ""造谣""",,,,,,,,,,,,,,,,,,,,
142,,17,3,"""白银"", ""银发"", ""银色"", ""银光闪闪""",,"""无垠"", ""很好""",,,,,,,,,,,,,,,,,,,,
143,,17,3,"""盘子"", ""托盘"", ""盘旋"", ""盘根错节""",,"""监考"", ""面盆""",,,,,,,,,,,,,,,,,,,,
144,,18,3,"""优美"", ""优秀"", ""优胜劣汰"", ""优裕""",,"""犹豫"", ""忧伤""",,,,,,,,,,,,,,,,,,,,
145,,18,3,"""淡青"", ""淡黄色"", ""天高云淡"", ""淡水湖""",,"""谈话"", ""炎热""",,,,,,,,,,,,,,,,,,,,
146,,18,3,"""浅水"", ""浅滩"", ""深入浅出"", ""浅红色""",,"""金钱"", ""丝线""",,,,,,,,,,,,,,,,,,,,
147,,18,3,"""交错"", ""错综复杂"", ""认错"", ""不错""",,"""借口"", ""可惜""",,,,,,,,,,,,,,,,,,,,
148,,18,3,"""岩石"", ""岩浆"", ""岩洞"", ""岩壁"", ""山岩""",,"""石头"", ""开拓""",,,,,,,,,,,,,,,,,,,,
149,,18,3,"""龙虾"", ""虾米"", ""大虾"", ""虾兵蟹将""",,"""吓一跳"", ""吓唬""",,,,,,,,,,,,,,,,,,,,
150,,18,3,"""挺巧"", ""挺拔"", ""挺直"", ""挺胸抬头""",,"""蜻蜓"", ""舰艇""",,,,,,,,,,,,,,,,,,,,
151,,18,3,"""刺猬"", ""鱼刺"", ""刺绣"", ""悬梁刺股""",,"""乘剌""",todo：这是什么？书上一个错别字,,,,,,,,,,,,,,,,,,,
152,,18,3,"""鼓起"", ""一鼓作气"", ""军鼓"", ""腰鼓""",,"""豆豉"", ""彭老师""",,,,,,,,,,,,,,,,,,,,
153,,18,3,"""数不清"", ""数星星"", ""数落"", ""数说""",,"""楼房"", ""救命""",,,,,,,,,,,,,,,,,,,,
154,,18,3,"""厚实"", ""厚纸"", ""厚袄"", ""忠厚"", ""厚道""",,"""原因"", ""厘米""",,,,,,,,,,,,,,,,,,,,
155,,18,3,"""宝贵"", ""宝石"", ""珍宝"", ""珠光宝气""",,"""晶莹"", ""卧室""",,,,,,,,,,,,,,,,,,,,
156,,18,3,"""宝贵"", ""高贵"", ""贵族"", ""达官贵人""",,"""肠胃"", ""责任""",,,,,,,,,,,,,,,,,,,,
157,,19,3,"""海滨"", ""湖滨"", ""江滨"", ""滨海""",,"""五彩缤纷"", ""宾客""",,,,,,,,,,,,,,,,,,,,
158,,19,3,"""灰色"", ""银灰"", ""灰头土脸"", ""烟灰""",,"""恢复"", ""朋友""",,,,,,,,,,,,,,,,,,,,
159,,19,3,"""飘落"", ""飘摇"", ""飘带"", ""红旗飘扬""",,"""水瓢"", ""漂浮""",,,,,,,,,,,,,,,,,,,,
160,,19,3,"""渔民"", ""渔火"", ""涸泽而渔"", ""竭泽而渔"", ""渔利""",,"""鱼虾"", ""涌泉""",,,,,,,,,,,,,,,,,,,,
161,,19,3,"""遍地"", ""遍布"", ""漫山遍野"", ""三遍""",,"""偏高"", ""扁担""",,,,,,,,,,,,,,,,,,,,
162,,19,3,"""躺下"", ""躺倒"", ""躺着"", ""平躺""",,"""倘若"", ""流淌""",,,,,,,,,,,,,,,,,,,,
163,,19,3,"""装载"", ""满载而归"", ""怨声载道""",,"""栽树"", ""裁剪""",,,,,,,,,,,,,,,,,,,,
164,,19,3,"""靠岸"", ""靠着"", ""依靠"", ""无依无靠""",,"""悲痛"", ""犯罪""",,,,,,,,,,,,,,,,,,,,
165,,19,3,"""亚热带"", ""亚军"", ""亚洲"", ""亚运会""",,"""作业"", ""正确""",,,,,,,,,,,,,,,,,,,,
166,,19,3,"""初夏"", ""夏天"", ""立夏"", ""华夏"", ""夏朝""",,"""大厦"", ""复习""",,,,,,,,,,,,,,,,,,,,
167,,19,3,"""除外"", ""消除"", ""剔除"", ""为民除害""",,"""徐徐上升"", ""涂抹""",,,,,,,,,,,,,,,,,,,,
168,,19,3,"""踩踏"", ""踩高跷"", ""踩点"", ""踩气球""",,"""理睬"", ""舞蹈""",,,,,,,,,,,,,,,,,,,,
169,,19,3,"""整洁"", ""清洁"", ""廉洁"", ""洁身自好""",,"""结束"", ""拮据""",,,,,,,,,,,,,,,,,,,,
170,,20,3,"""脑袋"", ""头脑"", ""大脑"", ""探头探脑""",,"""懊恼"", ""恼怒""",,,,,,,,,,,,,,,,,,,,
171,,20,3,"""脑袋"", ""口袋"", ""塑料袋"", ""布袋"", ""麻袋""",,"""装满"", ""贷款""",,,,,,,,,,,,,,,,,,,,
172,,20,3,"""严严实实"", ""嘴严"", ""严冬"", ""严肃""",,"""财产"", ""亚洲""",,,,,,,,,,,,,,,,,,,,
173,,20,3,"""严严实实"", ""充实"", ""实惠"", ""真实""",,"""买卖"", ""头发""",,,,,,,,,,,,,,,,,,,,
174,,20,3,"""挡住"", ""阻挡"", ""遮风挡雨"", ""窗挡""",,"""档案"", ""裤裆""",,,,,,,,,,,,,,,,,,,,
175,,20,3,"""视线"", ""视力"", ""注视"", ""一视同仁""",,"""祝福"", ""观察""",,,,,,,,,,,,,,,,,,,,
176,,20,3,"""视线"", ""光线"", ""棉线"", ""穿针引线""",,"""铜钱"", ""深浅""",,,,,,,,,,,,,,,,,,,,
177,,20,3,"""花坛"", ""酒坛"", ""坛子"", ""坛坛罐罐""",,"""云层"", ""纷纭""",,,,,,,,,,,,,,,,,,,,
178,,20,3,"""显得"", ""显示"", ""明显"", ""显著"", ""显贵""",,"""湿润"", ""星光""",,,,,,,,,,,,,,,,,,,,
179,,20,3,"""药材"", ""材料"", ""器材"", ""因材施教""",,"""村庄"", ""森林""",,,,,,,,,,,,,,,,,,,,
180,,20,3,"""柔软"", ""松软"", ""欺软怕硬"", ""软弱""",,"""砍柴"", ""钦佩""",,,,,,,,,,,,,,,,,,,,
181,,20,3,"""刮倒"", ""刮风"", ""刮脸"", ""刮胡子""",,"""凌乱"", ""甜蜜""",,,,,,,,,,,,,,,,,,,,
182,,20,3,"""宝库"", ""水库"", ""金库"", ""仓库"", ""车库""",,"""衣裤"", ""裤子"", ""秋裤""",,,,,,,,,,,,,,,,,,,,
183,,21,3,"""美妙"", ""妙不可言"", ""巧妙"", ""妙用""",,"""抄写"", ""炒菜""",,,,,,,,,,,,,,,,,,,,
184,,21,3,"""演奏"", ""演员"", ""表演"", ""演变"", ""演化""",,"""寅时""",,,,,,,,,,,,,,,,,,,,
